chose_left,chose_right,reward_left,reward_right,choice,reward,reward_choice,subjID,onlyReward,blocks,contrast_difference,abs_condiff,rand_condiff,categoricalCondiff,trial,q_reward,mu
0,1,0,1,1,1,1,1,1,6,0.1,0.1,-0.0153834534476129,1,17,0,0
0,1,0,1,1,1,1,1,1,6,0.0894736842105263,0.0894736842105263,-0.0358108083245914,1,18,0,0
0,1,0,1,1,1,1,1,1,6,0.0263157894736842,0.0263157894736842,-0.0199417792122965,1,19,0,0
0,1,0,1,1,1,1,1,1,6,0.068421052631579,0.068421052631579,-0.0620691753503564,1,20,0,0
0,1,0,1,1,1,1,1,1,6,0.0263157894736842,0.0263157894736842,0.0762540862762098,1,21,0,0
0,1,0,1,1,1,1,1,1,6,0.0473684210526316,0.0473684210526316,-0.022090425076679,1,22,0,0
0,1,0,1,1,1,1,1,1,6,0.0789473684210526,0.0789473684210526,-0.0274203096717862,1,23,0,0
1,0,1,0,0,1,1,1,0,6,-0.1,0.1,-0.0480938301752636,-1,24,0,0
0,1,0,1,1,1,1,1,1,6,0.0157894736842105,0.0157894736842105,0.0140999633700325,1,25,0,0
1,0,0,1,0,0,0,1,1,7,0.1,0.1,-0.0384182016631129,1,1,0,0
1,0,1,0,0,1,1,1,0,7,-0.0473684210526316,0.0473684210526316,0.0166130715048636,-1,2,0,0
0,1,0,1,1,1,1,1,1,7,0.0157894736842105,0.0157894736842105,-0.0179959154930386,1,3,0,0
1,0,1,0,0,1,1,1,0,7,-0.0263157894736842,0.0263157894736842,-0.0793636821918085,-1,4,0,0
0,1,0,1,1,1,1,1,1,7,0.0894736842105263,0.0894736842105263,0.0601904431804269,1,5,0,0
1,0,1,0,0,1,1,1,0,7,-0.068421052631579,0.068421052631579,0.0793207053637726,-1,6,0,0
1,0,1,0,0,1,1,1,0,7,-0.0789473684210526,0.0789473684210526,-0.0402234478371395,-1,7,0,0
1,0,1,0,0,1,1,1,0,7,-0.1,0.1,-0.0223857850412592,-1,8,0,0
0,1,0,1,1,1,1,1,1,7,0.0263157894736842,0.0263157894736842,0.0451886628684797,1,9,0,0
0,1,0,1,1,1,1,1,1,7,0.0157894736842105,0.0157894736842105,-0.0578996775555273,1,10,0,0
0,1,0,1,1,1,1,1,1,7,0.0789473684210526,0.0789473684210526,0.034681661486633,1,11,0,0
1,0,1,0,0,1,1,1,0,7,-0.0473684210526316,0.0473684210526316,-0.00321762317016182,-1,12,0,0
1,0,1,0,0,1,1,1,0,7,-0.068421052631579,0.068421052631579,-0.0775935547574448,-1,13,0,0
0,1,0,1,1,1,1,1,1,7,0.068421052631579,0.068421052631579,-0.033582460675102,1,14,0,0
1,0,1,0,0,1,1,1,0,7,-0.0894736842105263,0.0894736842105263,-0.0697980010659118,-1,15,0,0
0,1,1,0,1,0,0,1,0,7,-0.0263157894736842,0.0263157894736842,-0.0136861000146548,-1,16,0,0
0,1,1,0,1,0,0,1,0,7,-0.0157894736842105,0.0157894736842105,0.0335976690292292,-1,17,0,0
1,0,1,0,0,1,1,1,0,7,-0.0578947368421053,0.0578947368421053,0.0471687669806865,-1,18,0,0
0,1,1,0,1,0,0,1,0,7,-0.0473684210526316,0.0473684210526316,-0.0235763408564048,-1,19,0,0
1,0,1,0,0,1,1,1,0,7,-0.0157894736842105,0.0157894736842105,-0.00657398542206301,-1,20,0,0
1,0,1,0,0,1,1,1,0,7,-0.0368421052631579,0.0368421052631579,-0.0278167203925964,-1,21,0,0
1,0,1,0,0,1,1,1,0,7,-0.0368421052631579,0.0368421052631579,0.0536745243756475,-1,22,0,0
1,0,1,0,0,1,1,1,0,7,-0.1,0.1,-0.00576910026256544,-1,23,0,0
0,1,0,1,1,1,1,1,1,7,0.00526315789473684,0.00526315789473684,-0.0278194179622879,1,24,0,0
1,0,1,0,0,1,1,1,0,7,-0.0368421052631579,0.0368421052631579,-0.00582400547026443,-1,25,0,0
1,0,1,0,0,1,1,1,0,8,-0.0789473684210526,0.0789473684210526,0.0743697750551134,-1,1,0,0
0,1,0,1,1,1,1,1,1,8,0.0578947368421053,0.0578947368421053,-0.016336941606441,1,2,0,0
0,1,1,0,1,0,0,1,0,8,-0.0157894736842105,0.0157894736842105,-0.0682661098076555,-1,3,0,0
1,0,1,0,0,1,1,1,0,8,-0.0263157894736842,0.0263157894736842,-0.0736968750358081,-1,4,0,0
1,0,1,0,0,1,1,1,0,8,-0.0789473684210526,0.0789473684210526,-0.0136839760519411,-1,5,0,0
0,1,1,0,1,0,0,1,0,8,-0.0368421052631579,0.0368421052631579,-0.016038175849508,-1,6,0,0
1,0,1,0,0,1,1,1,0,8,-0.0157894736842105,0.0157894736842105,-0.0128329751500637,-1,7,0,0
