chose_left,chose_right,reward_left,reward_right,choice,reward,reward_choice,subjID,chose_low,chose_high,onlyReward,blocks,contrast_difference,abs_condiff,rand_condiff,trial,q_reward,mu,newChose_left,newChose_right
0,1,0,1,1,1,1,139,1,0,1,7,0.0885988368365915,0.0885988368365915,0.0651943808487166,20,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,7,-0.0580963615467515,0.0580963615467515,0.0387157157405506,21,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,7,0.0104701349206405,0.0104701349206405,-0.0247434616861437,22,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,7,0.0234580791331655,0.0234580791331655,0.0334686953435559,23,0,0,0,1
0,1,1,0,1,0,0,139,1,0,0,7,0.00996322472049752,0.00996322472049752,-0.0244012216002096,24,0,0,0,1
0,1,1,0,1,0,0,139,1,0,0,7,0.0492828801294175,0.0492828801294175,0.0299916003446824,25,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,8,-0.356825027649631,0.356825027649631,-0.0745068373982266,1,0,0,0,1
0,1,1,0,1,0,0,139,0,1,0,8,-0.391748725122103,0.391748725122103,0.0295379214078991,2,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,8,0.413109857129412,0.413109857129412,-0.0765472713004726,3,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,8,-0.366464104927426,0.366464104927426,-0.0395805387919899,4,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,8,0.38681968646554,0.38681968646554,-0.0320074465254232,5,0,0,0,1
0,1,1,0,1,0,0,139,0,1,0,8,-0.393278430650121,0.393278430650121,-0.0585703170240628,6,0,0,0,1
1,0,0,1,0,0,0,139,0,1,1,8,0.386791689011535,0.386791689011535,0.0105020307523061,7,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,8,0.403265801410975,0.403265801410975,0.073237443799046,8,0,0,0,1
0,1,1,0,1,0,0,139,1,0,0,8,0.394457085790878,0.394457085790878,0.0793835803842723,9,0,0,0,1
1,0,0,1,0,0,0,139,0,1,1,8,0.387471886281636,0.387471886281636,-0.0552671533584987,10,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,8,-0.358691623452391,0.358691623452391,0.00668310965158669,11,0,0,0,1
1,0,1,0,0,1,1,139,1,0,0,8,-0.389161429650771,0.389161429650771,-0.0571300229860761,12,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,8,0.388808167788667,0.388808167788667,-0.0302065508012573,13,0,0,0,1
1,0,1,0,0,1,1,139,1,0,0,8,-0.433640613359002,0.433640613359002,-0.000138621888312221,14,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,8,-0.368525760147387,0.368525760147387,-0.0764959454205043,15,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,8,-0.351146518979774,0.351146518979774,0.0696219419134582,16,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,8,0.403778524891497,0.403778524891497,0.0185792269492156,17,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,8,-0.399109256687519,0.399109256687519,0.0620064357522081,18,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,8,0.412169189229595,0.412169189229595,-0.0709335474111395,19,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,8,0.372277237679986,0.372277237679986,-0.0160670023618665,20,0,0,0,1
1,0,1,0,0,1,1,139,1,0,0,8,-0.393289873420611,0.393289873420611,0.072559438122814,21,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,8,0.409201243503119,0.409201243503119,-0.0418286810127696,22,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,8,-0.387258873518605,0.387258873518605,0.00448054956595501,23,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,8,-0.411972138004414,0.411972138004414,-0.0745470387086327,24,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,8,0.419801971743071,0.419801971743071,-0.0132188674059239,25,0,0,0,1
0,1,1,0,1,0,0,139,1,0,0,9,0.0531729208581225,0.0531729208581225,0.0753689664052365,1,0,0,0,1
0,1,1,0,1,0,0,139,1,0,0,9,0.0780061548120595,0.0780061548120595,-0.0644002137446347,2,0,0,0,1
1,0,0,1,0,0,0,139,0,1,1,9,0.046037307123765,0.046037307123765,-0.0042240171044173,3,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,9,-0.0204106393344935,0.0204106393344935,0.0471286590117076,4,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,9,-0.042834756700333,0.042834756700333,0.004302234975186,5,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,9,0.0736961233082525,0.0736961233082525,0.0632070265431306,6,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,9,-0.00376905386086451,0.00376905386086451,0.0635619832210824,7,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,9,-0.00636787837100952,0.00636787837100952,0.0049357707028147,8,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,9,0.0770669801454965,0.0770669801454965,0.0559065285370203,9,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,9,0.00149117899881451,0.00149117899881451,-0.0228861242407914,10,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,9,-0.0719641744453475,0.0719641744453475,-0.0209768055439648,11,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,9,0.0346432341603115,0.0346432341603115,0.0703131646551434,12,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,9,-0.0487281607384305,0.0487281607384305,0.0222880905574576,13,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,9,-0.0788478025336355,0.0788478025336355,0.0198558033624363,14,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,9,0.0626761088651605,0.0626761088651605,0.059287494633075,15,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,9,-0.0428212521499925,0.0428212521499925,0.0766819428743062,16,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,9,0.0709948960540585,0.0709948960540585,0.0206891171359125,17,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,9,0.0981249912141265,0.0981249912141265,0.0303900777842965,18,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,9,-0.0219838793759625,0.0219838793759625,0.0219388121245832,19,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,9,-0.087015424775364,0.087015424775364,-0.0751070332080141,20,0,0,0,1
0,1,0,1,1,1,1,139,0,1,1,9,-0.0415352648505695,0.0415352648505695,-0.0402772995668526,21,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,9,0.0574860948946795,0.0574860948946795,-0.0575121025220789,22,0,0,1,0
