chose_left,chose_right,reward_left,reward_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial
0,1,0,1,143,1,1,1,-0.0830800095809185,0.0830800095809185,1
1,0,1,0,143,1,1,1,0.0660234555210825,0.0660234555210825,2
0,1,1,0,143,1,1,1,0.0644367712841865,0.0644367712841865,3
0,1,1,0,143,1,1,1,0.0756948566164385,0.0756948566164385,4
0,1,1,0,143,1,1,1,0.0779005126269075,0.0779005126269075,5
1,0,1,0,143,0.76,0.76,1,-0.0410522155340865,0.0410522155340865,6
1,0,1,0,143,1,1,1,-0.0566519707680775,0.0566519707680775,7
0,1,1,0,143,1,1,1,0.0863940375500275,0.0863940375500275,8
0,1,1,0,143,1,1,1,0.0843751957559755,0.0843751957559755,9
1,0,1,0,143,1,1,1,-0.0244856146873565,0.0244856146873565,10
1,0,1,0,143,1,1,1,-0.047443460558188,0.047443460558188,11
1,0,1,0,143,1,1,1,-0.0616327805119135,0.0616327805119135,12
0,1,1,0,143,1,1,1,0.0479966118197565,0.0479966118197565,13
0,1,1,0,143,1,1,1,0.0831688022267975,0.0831688022267975,14
1,0,1,0,143,1,1,1,-0.00901450780900651,0.00901450780900651,15
0,1,1,0,143,1,1,1,0.0305398040529895,0.0305398040529895,16
1,0,1,0,143,1,1,1,-0.0847083984919645,0.0847083984919645,17
0,1,1,0,143,1,1,1,0.0360733176265335,0.0360733176265335,18
0,1,1,0,143,1,1,1,0.0708653188352325,0.0708653188352325,19
1,0,1,0,143,1,1,1,-0.0410870134884965,0.0410870134884965,20
0,1,1,0,143,1,1,1,0.00471011622389547,0.00471011622389547,21
1,0,1,0,143,1,1,1,-0.058363784091287,0.058363784091287,22
1,0,1,0,143,1,1,1,-0.0910936660910825,0.0910936660910825,23
1,0,1,0,143,1,1,1,-0.0747885556511825,0.0747885556511825,24
0,1,1,0,143,1,1,1,0.0295953168311755,0.0295953168311755,25
1,0,1,0,143,1,0,2,-0.0937840820170675,0.0937840820170675,1
