chose_left,chose_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial,reward
0.0,1.0,139,0.36,0.64,10,0.5976926624261238,0.0171107067110915,25,1.0
0.0,1.0,139,0.5,0.5,11,-0.5835034065221267,0.40710668365818,1,1.0
0.0,1.0,139,0.5,0.5,11,-0.11326459639757647,0.405585853767782,2,1.0
1.0,0.0,139,0.5,0.5,11,0.43120255030860966,0.423136083442689,3,1.0
1.0,0.0,139,0.5,0.5,11,-0.17896042917214428,0.448327503295373,4,1.0
1.0,0.0,139,0.5,0.5,11,-0.6179860892591578,0.419152332761376,5,1.0
1.0,0.0,139,0.5,0.5,11,0.9349886136128369,0.37115033676359,6,1.0
0.0,1.0,139,0.5,0.5,11,0.3015007329525867,0.413653995437093,7,1.0
1.0,0.0,139,0.5,0.5,11,0.7309197030457988,0.414466467091861,8,1.0
0.0,1.0,139,0.5,0.5,11,-0.9495152844007126,0.406169456626186,9,1.0
1.0,0.0,139,0.5,0.5,11,-0.46618837041773054,0.39818346120403,10,1.0
1.0,0.0,139,0.5,0.5,11,0.004142200653485695,0.408503849741893,11,1.0
1.0,0.0,139,0.5,0.5,11,-0.8651027297398965,0.421830431813972,12,1.0
1.0,0.0,139,0.5,0.5,11,0.9860665221895835,0.421586198611013,13,1.0
1.0,0.0,139,0.5,0.5,11,-0.5270752076039422,0.442700565702364,14,1.0
1.0,0.0,139,0.5,0.5,11,-0.25141563530910394,0.355531469929647,15,1.0
1.0,0.0,139,0.5,0.5,11,-0.5719761701833075,0.357789277310362,16,1.0
1.0,0.0,139,0.5,0.5,11,-0.7891082677890984,0.424304981710395,17,1.0
1.0,0.0,139,0.5,0.5,11,-0.5350404287915285,0.385644880865709,18,1.0
1.0,0.0,139,0.5,0.5,11,-0.3987797289935906,0.422789406316374,19,1.0
1.0,0.0,139,0.5,0.5,11,0.2688845357988783,0.40104732977805,20,1.0
1.0,0.0,139,0.5,0.5,11,-0.43753043709418304,0.350419881656503,21,1.0
1.0,0.0,139,0.5,0.5,11,-0.2754464780468475,0.383182967663645,22,1.0
1.0,0.0,139,0.45,0.55,11,-0.9881143125529404,0.38139106881161,23,1.0
0.0,1.0,139,0.5,0.5,11,-0.2685617481452709,0.362391825879064,24,1.0
1.0,0.0,139,0.5,0.5,11,0.0677719633965892,0.441001061045924,25,1.0
